,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
0,Maruti Wagon R LXI CNG,Mumbai,10,72000,CNG,Manual,First,26.6,998,58.16,5.0,1.75,Maruti
1,Hyundai Creta 1.6 CRDi SX Option,Pune,5,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,Hyundai
2,Honda Jazz V,Chennai,9,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,Honda
3,Maruti Ertiga VDI,Chennai,8,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,Maruti
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,7,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,Audi
5,Hyundai EON LPG Era Plus Option,Hyderabad,8,75000,LPG,Manual,First,21.1,814,55.2,5.0,2.35,Hyundai
6,Nissan Micra Diesel XV,Jaipur,7,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,Nissan
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,4,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,Toyota
8,Volkswagen Vento Diesel Comfortline,Pune,7,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,Volkswagen
9,Tata Indica Vista Quadrajet LS,Chennai,8,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,1.95,Tata
10,Maruti Ciaz Zeta,Kochi,2,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,Maruti
11,Honda City 1.5 V AT Sunroof,Kolkata,8,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,Honda
12,Maruti Swift VDI BSIV,Jaipur,5,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,5.6,Maruti
13,Land Rover Range Rover 2.2L Pure,Delhi,6,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,Land
14,Land Rover Freelander 2 TD4 SE,Pune,8,85000,Diesel,Automatic,Second,"<bound method NDFrame._add_numeric_operations.<locals>.mean of 0        26.6
1       19.67
2        18.2
3       20.77
4        15.2
        ...  
5867     28.4
5868     24.4
5869     14.0
5870     18.9
5871    25.44
Name: Mileage, Length: 5872, dtype: object>",2179,115.0,5.0,17.5,Land
15,Mitsubishi Pajero Sport 4X4,Delhi,6,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,Mitsubishi
16,Honda Amaze S i-Dtech,Kochi,4,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda
17,Maruti Swift DDiS VDI,Jaipur,3,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.99,Maruti
18,Renault Duster 85PS Diesel RxL Plus,Kochi,6,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,Renault
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,6,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,Mercedes
20,BMW 3 Series 320d,Kochi,6,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,18.55,BMW
21,Maruti S Cross DDiS 200 Alpha,Bangalore,5,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,Maruti
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,5,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,Audi
23,Hyundai i20 1.2 Magna,Kolkata,10,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,1.87,Hyundai
24,Volkswagen Vento Petrol Highline AT,Kolkata,10,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,Volkswagen
25,Honda City Corporate Edition,Mumbai,8,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,Honda
26,Nissan Micra Diesel XV,Hyderabad,8,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4.25,Nissan
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,7,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,Maruti
28,Honda WRV i-VTEC VX,Kochi,2,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9.9,Honda
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,13,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,4.0,Toyota
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,7,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,Renault
31,Toyota Corolla Altis G,Delhi,8,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,Toyota
32,Mahindra Ssangyong Rexton RX7,Bangalore,7,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,12.5,Mahindra
33,Audi A6 2.7 TDI,Kolkata,10,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,Audi
34,Volkswagen Vento 1.6 Highline,Coimbatore,6,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,Volkswagen
35,Maruti Wagon R LXI BSIII,Jaipur,11,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,Maruti
36,Maruti Vitara Brezza ZDi Plus,Kochi,2,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,Maruti
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,3,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.85,Mahindra
38,Mercedes-Benz M-Class ML 350 CDI,Pune,7,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,Mercedes
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,Volkswagen
40,Maruti Alto LXi,Delhi,12,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,Maruti
41,Tata Nano LX SE,Kochi,6,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,Tata
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,3,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,5.58,Mahindra
43,Hyundai i20 Magna Optional 1.2,Kochi,6,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,Hyundai
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,6,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,Hyundai
45,Toyota Corolla Altis G AT,Mumbai,4,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,Toyota
46,Hyundai Elantra CRDi,Ahmedabad,12,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,Hyundai
